"Date","BTCENEMAX","BTCENEMIN","BTCENEGUE","BTCEMI_MAX","BTCEMI_MIN","BTCEMI_GUE","BTCOAL_MAX","BTCOAL_MIN","BTCOAL_GUE","BTCOIL_MAX","BTCOIL_MIN","BTCOIL_GUE","BTCGAS_MAX","BTCGAS_MIN","BTCGAS_GUE"
"7/18/2010","1632822","137429.2","823214.3","904583.3","76135.76","456060.7","1663845","140040.3","838855.4","1394430","117364.5","703025","839270.4","70638.59","423132.2"
"7/19/2010","1642310","138227.8","827998","909839.8","76578.18","458710.9","1673514","140854.1","843729.9","1402533","118046.5","707110.3","844147.4","71049.07","425591"
"7/20/2010","1667626","140358.5","840761.6","923864.9","77758.63","465781.9","1699311","143025.4","856736.1","1424153","119866.2","718010.4","857159.9","72144.3","432151.5"
"7/21/2010","1741990","146617.5","878253.3","965062.4","81226.09","486552.3","1775088","149403.2","894940.1","1487660","125211.3","750028.3","895382.9","75361.4","451422.2"
"7/22/2010","1727749","145418.9","871073.5","957173","80562.06","482574.7","1760576","148181.8","887623.9","1475498","124187.7","743896.8","888063.1","74745.31","447731.8"
"7/23/2010","1746736","147016.9","880646.1","967691.8","81447.38","487877.9","1779924","149810.3","897378.3","1491713","125552.5","752071.8","897822.3","75566.7","452652.1"
"7/24/2010","1753516","147587.6","884064.4","971447.9","81763.54","489771.7","1786833","150391.8","900861.6","1497503","126039.8","754991","901307.3","75860.03","454409.1"
"7/25/2010","1833528","154322","881328.8","1015775","85494.36","488256.2","1868365","157254.1","898074.1","1565833","131791","752654.8","942433.4","79321.48","453003"
"7/26/2010","1927104","162197.9","883193.9","1067616","89857.64","489289.4","1963719","165279.7","899974.6","1645747","138517","754247.6","990531.4","83369.73","453961.7"
"7/27/2010","1980729","166711.4","869105.1","1097324","92358.1","481484.2","2018363","169878.9","885618.1","1691543","142371.5","742215.8","1018095","85689.65","446720"
"7/28/2010","1990069","167497.5","833929.8","1102498","92793.59","461997.1","2027880","170679.9","849774.4","1699519","143042.8","712176","1022895","86093.69","428639.9"
"7/29/2010","2079762","175046.6","833998.1","1152188","96975.81","462034.9","2119277","178372.5","849844","1776116","149489.8","712234.4","1068997","89973.95","428675"
"7/30/2010","2148691","180848.1","823096.4","1190375","100189.9","455995.4","2189516","184284.3","838735.3","1834982","154444.3","702924.4","1104427","92955.95","423071.6"
"7/31/2010","2262713","190445","829661.4","1253543","105506.5","459632.4","2305705","194063.5","845425","1932357","162640","708530.9","1163035","97888.73","426446"
"1/8/2010","2385453","200775.6","874665.9","1321541","111229.7","484564.9","2430776","204590.3","891284.6","2037176","171462.4","746964.7","1226123","103198.7","449578.3"
"2/8/2010","2497390","210197","915709.8","1383554","116449.1","507303.3","2544841","214190.8","933108.3","2132771","179508.3","782016.2","1283659","108041.3","470674.8"
"3/8/2010","2612419","219878.6","957887.1","1447280","121812.8","530669.4","2662055","224056.3","976086.9","2231006","187776.3","818035.6","1342784","113017.6","492353.9"
"4/8/2010","2765663","232776.6","1014076","1532177","128958.3","561798.4","2818211","237199.4","1033344","2361876","198791.3","866021.3","1421551","119647.2","521235.3"
"5/8/2010","2863211","240986.9","1049844","1586219","133506.7","581613.5","2917612","245565.6","1069791","2445182","205802.8","896566.7","1471690","123867.3","539619.8"
"6/8/2010","2917900","245589.9","1069897","1616517","136056.8","592722.8","2973340","250256.1","1090225","2491887","209733.8","913691.7","1499801","126233.2","549926.9"
"7/8/2010","2955323","248739.7","1083618","1637249","137801.8","600324.5","3011474","253465.7","1104207","2523846","212423.7","925410","1519036","127852.2","556979.8"
"8/8/2010","3042821","256104.1","1115701","1685723","141881.7","618098.4","3100635","260970.1","1136900","2598569","218712.9","952808.8","1564010","131637.5","573470.4"
"9/8/2010","3101171","261015.3","1137096","1718049","144602.5","629951.3","3160094","265974.5","1158701","2648400","222907","971080.1","1594002","134161.8","584467.4"
"10/8/2010","3189516","268450.9","1169489","1766992","148721.8","647897.1","3250117","273551.5","1191710","2723847","229257.1","998743.8","1639411","137983.8","601117.5"
"11/8/2010","3359161","282729.4","1231692","1860975","156632.1","682357.5","3422985","288101.2","1255094","2868723","241450.9","1051865","1726609","145322.9","633089.8"
"12/8/2010","3504100","294928.4","1284837","1941272","163390.4","711799.6","3570678","300532.1","1309249","2992502","251868.9","1097251","1801108","151593.2","660406.1"
"8/13/2010","3682988","309984.8","1350429","2040376","171731.6","748137.7","3752965","315874.6","1376087","3145272","264727.1","1153266","1893056","159332.2","694120.5"
"8/14/2010","4014457","337883.5","1471968","2224009","187187.5","815470.1","4090732","344303.3","1499935","3428347","288552.5","1257060","2063431","173672.1","756591.4"
"8/15/2010","4099888","345073.9","1503292","2271338","191171","832824","4177786","351630.3","1531855","3501305","294693.2","1283812","2107343","177368","772692.3"
"8/16/2010","4162040","350305.1","1526081","2305770","194069","845449.1","4241119","356960.8","1555077","3554382","299160.5","1303274","2139289","180056.8","784405.8"
"8/17/2010","4152747","349522.9","1522674","2300622","193635.7","843561.4","4231650","356163.8","1551605","3546446","298492.6","1300364","2134512","179654.8","782654.4"
"8/18/2010","4048257","340728.3","1484361","2242735","188763.5","822335.9","4125174","347202.2","1512564","3457212","290982","1267644","2080804","175134.4","762961.5"
"8/19/2010","3993503","336119.8","1464285","2212401","186210.4","811213.6","4069380","342506.1","1492106","3410452","287046.3","1250499","2052661","172765.6","752642.3"
"8/20/2010","4165748","350617.1","1527441","2307824","194241.9","846202.2","4244897","357278.8","1556462","3557548","299427","1304434","2141194","180217.2","785104.6"
