"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","780.508539962895","773.884705880706","783.349264077157","779.982257282644","777.867955438312","775.825209756859","766.118341813643","770.25890957254","766.995790962526","775.81752619471","795.144907765308","809.497556607116","803.601546377318","823.39212047966","811.541754898041","817.25675661467","819.506970017881","824.513785267348","791.287656443576","770.037195426649","773.326416853114","732.667501426017","742.813558459323","743.131843490678","751.662583053821","750.550480005589","750.587403866298","739.749342991583","740.755188606538","727.10559136229","732.364434007534","720.03694812386","733.782233851242","751.43419498749","742.787113670108","736.885640720585","749.87698328403","773.642496773604","759.739413459629","749.135699357195","743.414188317463","722.250482682349","719.00574261528","734.218297241573","","","","","","","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","509.757672140118","514.390821303091","525.877813431352","529.016731120205","531.902822290474","539.106345252122","550.783014103309","558.297710610199","559.618967933258","565.263996102462","571.126682446917","578.790999384132","571.964695052632","561.505152089666","564.928986092299","559.495492468471","563.568218390283","561.581204214949","565.071935458198","561.653785675702","577.05162916616","584.166463440685","580.264303169281","557.354961502115","558.531089258136","569.918585615883","573.246066793663","565.852182483318","575.66962610262","544.71340801129","551.731770424563","555.354822925959","564.633168998483","571.022318224709","577.477848760427","570.658517609241","575.189997336652","577.896898369503","563.736331714102","588.114127123982","600.952039188253","614.8401280338","612.821698151492","602.378094980384","","","","","","","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","623.396058538632","651.342374092479","627.933045819316","620.338511140179","585.963624564233","560.434470288078","534.498951329858","568.34676044413","556.771431533996","547.782863650109","532.142719357809","506.387283908891","501.980066849152","489.177144394784","500.491594254761","488.521737177977","483.407092369154","486.37993262546","480.735430872928","497.365461687136","492.615358422255","479.527381223695","481.173345850331","472.397961347734","456.745359648074","454.603482498861","449.267258891816","433.677424359323","441.055254278105","438.58776427709","443.087769758524","448.345608584175","467.570188203246","464.486438612497","433.185633674926","458.511115277294","471.596701317916","492.071879511267","515.36835836524","520.785338756734","520.953673858865","550.601366698465","531.08226327439","540.864115629351","","","","","","","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","785.161525934329","865.59248120703","762.725361728214","776.934748974948","826.952081040206","890.953359858712","923.728867504315","1010.81922139014","864.199459705589","1149.53609603604","989.200148492914","966.683283781289","1000.12201296783","1018.26314225619","916.555190602146","963.927169506077","921.893044018284","927.744518727469","896.437762376845","813.255695500012","572.781843950789","418.286629757142","412.378880465233","441.249295409311","417.034843013203","447.848870261137","384.594958328053","426.682819087559","576.183632282524","580.494764208924","597.265252650749","660.04798411018","648.168387059418","715.414483080102","719.584378082987","706.859407721917","679.861765101008","710.748498463347","732.316681804627","729.154372728518","764.968616564465","687.896259861998","801.329975005976","808.455839595944","","","","","","","","",
"Andorra","AND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","421.664784825132","425.484105953951","455.071063820643","470.751417172778","493.082087618352","529.890057210517","562.838819406509","627.137639492078","726.871548218597","788.566132071548","877.807167729276","947.0804774569","989.36438835613","982.083311237427","1007.66658442702","1023.65232875384","1076.38101040603","1137.58596334296","1164.27776942599","1073.38996769801","1090.5210487467","1174.15070314427","1221.60464988029","1260.83731326495","1261.01950502158","1281.7867233355","1299.86586449289","1288.58638817219","1272.81355022959","1272.86335676773","1337.70535185191","1373.01636761518","1364.85885952234","1413.72779084154","1467.57687662786","1531.09662620383","1557.63403018188","1635.93907886893","1677.45725126298","1735.21283749332","1703.94099698835","1802.87005378692","1759.61056735794","1916.30577803737","","","","","","","","",
"United Arab Emirates","ARE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","2937.36375695547","2678.8830893447","2955.3749779185","2726.26154831235","3565.35221220698","4006.75538159195","5810.71243143985","5924.13978100694","6130.48900767459","7131.8931648206","8063.25237688378","8277.43574550287","7526.24332160068","9231.19378811631","9943.48824532306","10610.9449396302","10977.7848847871","10539.2589213752","11433.3880257166","10748.6547121781","11694.9217355455","10564.5097345233","10576.0523621813","11186.5382237366","11374.2224694616","11361.3978897943","11243.8954757605","10809.3104380839","10408.8652918439","9624.1182194299","11638.6194421976","10973.9083649934","10287.4932180709","10480.6153447028","10394.3003410657","9430.14610874076","8537.9169516046","8487.83598058862","7501.04058181498","7273.24930135463","7502.56209618312","7892.70590581455","7992.44216677919","7975.79060816431","","","","","","","","",
"Argentina","ARG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","1389.0769326608","1389.35798999496","1422.37328715057","1426.51634275129","1388.74493064072","1414.7309780958","1429.33059267539","1433.83778477964","1489.9693062686","1491.92124561946","1434.06144120295","1420.02838456438","1423.68097340459","1452.1249641788","1365.23304037704","1426.58244224417","1482.24915239409","1509.79189791154","1445.86486763598","1411.35746968601","1434.3241990828","1487.61907258592","1471.83130339105","1544.76057894447","1546.50812350788","1583.49370638555","1614.73000410906","1650.72610902792","1659.76805574415","1660.52009057054","1562.31178709416","1502.20934243469","1590.84132143851","1720.3112556181","1712.85349015617","1844.2651618793","1849.45279643745","1928.32659888375","1856.09639267081","1928.65235658729","1952.05105293095","1936.80353979442","1967.02167752077","2029.92282543737","","","","","","","","",
